Municipio,Población total
Total estatal,3.026943e6
Escuinapa,59988.0
Ahome,459310.0
Choix,29334.0
Concordia,24899.0
Mocorito,40358.0
Mazatlán,501441.0
Navolato,149122.0
Culiacán,1.00353e6
San Ignacio,19505.0
Badiraguato,26542.0
Sinaloa,78670.0
Angostura,44093.0
Elota,55339.0
El Fuerte,96593.0
Rosario,52345.0
Salvador Alvarado,79492.0
Guasave,289370.0
Cosalá,17012.0
