Municipio,Nacimientos
San Bartolo Yautepec ,9.0
San Antonio Sinicahua ,34.0
San Cristóbal Amoltepec ,21.0
Magdalena Mixtepec ,38.0
Santa María Guelacé ,8.0
San Sebastián Teitipac ,26.0
Santa Cruz Tacache de Mina ,53.0
Santiago Apoala ,14.0
San Pedro Comitancillo ,40.0
Santa Cruz Nundaco ,55.0
San Andrés Sinaxtla,10.0
San Pedro Topiltepec ,3.0
San Juan Juquila Vijanos,50.0
Asunción Tlacolulita ,12.0
San Juan Bautista Lo de Soto,38.0
Santa Catarina Quiané ,25.0
Tanetze de Zaragoza ,18.0
La Reforma,50.0
San Miguel Suchixtepec ,49.0
Santa María Tecomavaca ,34.0
Guevea de Humboldt,87.0
San José Independencia ,87.0
San Antonio Tepetlapa,91.0
Santa Ana ,43.0
San Agustín Tlacotepec ,12.0
San Martín Zacatepec ,28.0
Santa María Tlalixtac ,34.0
Santa Cruz Acatepec ,32.0
Santa Cruz Tacahua ,11.0
San Pedro Mártir ,29.0
Santiago Laxopa ,19.0
Santa Cruz de Bravo ,5.0
San Martín Lachilá ,7.0
Santa Catarina Ticuá,13.0
San Dionisio Ocotepec,177.0
Total estatal,76323.0
Ciénega de Zimatlán ,21.0
Santa María Yucuhiti,75.0
San Pedro Mixtepec,1241.0
San Felipe Tejalápam,95.0
San Nicolás Hidalgo ,11.0
San Miguel del Puerto,146.0
Mixistlán de la Reforma ,45.0
Santa Gertrudis ,26.0
Santa María Jalapa del Marqués,165.0
Santo Tomás Tamazulapan,26.0
Calihualá ,33.0
Loma Bonita,628.0
San Baltazar Chichicápam ,21.0
Santa María Chilchotla ,383.0
San Pedro Taviche,32.0
San Bernardo Mixtepec ,52.0
Santa María Camotlán ,21.0
Santiago Comaltepec ,17.0
San Bartolomé Ayautla ,86.0
Santiago Ixtayutla ,325.0
Pluma Hidalgo ,47.0
San Juan Chicomezúchil,1.0
Villa Sola de Vega,278.0
Matías Romero Avendaño ,707.0
Asunción Ixtaltepec,175.0
Santiago Huauclilla,5.0
Santiago Tlazoyaltepec ,120.0
San Lucas Camotlán ,37.0
Guadalupe de Ramírez ,24.0
Santo Domingo Xagacía ,20.0
Santa María Temaxcalapa ,8.0
Santa Ana Ateixtlahuaca ,5.0
San Miguel Yotao ,7.0
Ixpantepec Nieves ,16.0
San Miguel el Grande ,82.0
Candelaria Loxicha ,331.0
Yutanduchi de Guerrero ,21.0
San Marcos Arteaga ,39.0
Santiago Tepetlapa ,4.0
Santa María Chimalapa ,217.0
San Miguel Peras ,70.0
Santiago Yaitepec ,60.0
Ciudad Ixtepec,353.0
Santa María Nativitas ,3.0
Santa María Yavesía ,5.0
San Andrés Yaá ,5.0
Santa María Yolotepec ,8.0
Constancia del Rosario ,99.0
Salina Cruz,1225.0
San Mateo Etlatongo ,15.0
San Juan de los Cués,38.0
Santiago Textitlán ,78.0
San Pedro Amuzgos,101.0
Santa Cruz Tayata ,10.0
Santiago Tillo ,5.0
Santiago Tetepec ,83.0
San Juan Comaltepec,65.0
San Pedro Apóstol ,15.0
Santa María Ipalapa ,93.0
San Juan Ñumí,103.0
Santa Catarina Tayata ,9.0
Cuilápam de Guerrero,329.0
Santa María Petapa ,247.0
San Miguel Quetzaltepec,138.0
San Sebastián Nicananduta ,17.0
San Juan Diuxi,6.0
Santa Catarina Ixtepeji ,28.0
Reyes Etla ,76.0
San Pedro Atoyac ,102.0
San Juan del Estado,40.0
San Nicolás ,13.0
San Pablo Etla,89.0
Oaxaca de Juárez,4882.0
Santa María Lachixío ,27.0
San Francisco Ozolotepec ,29.0
San Miguel Chimalapa,122.0
San Juan Cieneguilla,12.0
San Pedro Mártir Quiechapa ,8.0
San Sebastián Río Hondo ,65.0
Santiago Ihuitlán Plumas ,6.0
Santiago Ayuquililla ,54.0
Santa Catarina Lachatao ,15.0
Ayoquezco de Aldama ,59.0
San Miguel Chicahua ,31.0
San Juan Yatzona ,9.0
Nazareno Etla ,53.0
San Pablo Tijaltepec ,27.0
Santa María Huatulco,890.0
San Bartolo Soyaltepec ,3.0
Villa de Tamazulápam del Progreso,136.0
Coatecas Altas ,86.0
San Mateo Nejápam ,20.0
San Pedro Cajonos ,19.0
San Juan Teita,4.0
San Gabriel Mixtepec ,76.0
San Juan Bautista Cuicatlán,185.0
Nejapa de Madero,97.0
Unión Hidalgo,150.0
Santa María Yalina ,7.0
Tepelmeme Villa de Morelos,29.0
Villa Tejúpam de la Unión ,24.0
