Municipio,Total
Carmen,30.0
Total estatal,29.0
Campeche,31.0
Calakmul,22.0
Champotón,27.0
Palizada,30.0
Tenabo,29.0
Hecelchakán,29.0
Escárcega,26.0
Candelaria,25.0
Calkiní,29.0
Hopelchén,25.0
Seybaplaya,30.0
