Municipio,Porcentaje de hombres
Total estatal,Total estatal
Bacalar,Bacalar
Felipe Carrillo Puerto,Felipe Carrillo Puerto
Othón P. Blanco,Othón P. Blanco
Tulum,Tulum
Solidaridad,Solidaridad
Benito Juárez,Benito Juárez
Isla Mujeres,Isla Mujeres
Puerto Morelos,Puerto Morelos
Cozumel,Cozumel
José María Morelos,José María Morelos
Lázaro Cárdenas,Lázaro Cárdenas
