Municipio,Nacimientos
Total estatal,30707.0
Bacalar,997.0
Felipe Carrillo Puerto,1564.0
Othón P. Blanco,3678.0
Tulum,966.0
Solidaridad,5825.0
Benito Juárez,14041.0
Isla Mujeres,341.0
Puerto Morelos,468.0
Cozumel,1399.0
José María Morelos,810.0
Lázaro Cárdenas,613.0
