Municipio,Porcentaje de mujeres
Santa Catarina Yosonotú ,55.0911854103343
Santiago Xiacuí ,52.1394611727417
San Marcial Ozolotepec ,54.0816326530612
San Juan Petlapa,52.3901187038819
San Juan Sayultepec,54.0386803185438
San Juan Bautista Guelache,52.6748356246264
Santiago Laollaga ,51.532282058911
San Lorenzo Texmelúcan ,54.995627459554
Heroica Ciudad de Tlaxiaco,53.6375644891957
San Dionisio Ocotlán ,51.7391304347826
Santo Domingo Ozolotepec ,52.3160762942779
Pinotepa de Don Luis,50.716957605985
Santiago Tapextla ,49.5213784301212
San Juan del Río,52.5510204081633
San Juan Quiahije,54.5086842731382
Capulálpam de Méndez ,55.3428042001235
San Bartolomé Quialana ,58.3926329007953
Santa María Yosoyúa ,52.1483225426722
Chalcatongo de Hidalgo,53.1045932484781
Santo Domingo Petapa,50.1273955910048
San Mateo Cajonos ,51.3911620294599
San Miguel Amatitlán,51.7743796884016
San Miguel Santa Flor ,47.7568740955137
Santiago Llano Grande ,50.1162790697674
Santos Reyes Tepejillo ,54.2035398230089
Santa María Totolapilla ,51.2315270935961
San Jerónimo Sosola ,52.1978021978022
San Andrés Zabache ,54.9465240641711
Santo Domingo Tehuantepec,51.5419477701177
Santa Ana del Valle,50.6195502524094
San Sebastián Tutla,54.34293162697
San Juan Bautista Atatlahuca,52.247191011236
Santiago Tenango ,50.7121057985758
San José Estancia Grande ,51.2793176972281
San Dionisio del Mar,50.0579150579151
San Martín Peras ,52.9269861691862
Santa María Zacatepec,52.3625730994152
Santiago Tamazola ,52.8488111260655
San Agustín Chayuco ,51.4052366082152
San Baltazar Yatzachi el Bajo ,51.7804154302671
Eloxochitlán de Flores Magón ,52.6690391459075
San Pedro Huamelula,50.6728299948639
San José Tenango ,52.6792619600044
San Pedro Mártir Yucuxaco ,52.3468575974543
Santa María Zaniza ,51.8023491292021
San Jorge Nuchita ,53.4536619229434
San Agustín Atenango ,51.4698022447889
Tamazulápam del Espíritu Santo,55.4070981210856
San Bartolomé Loxicha ,51.6493447808405
San Juan Juquila Mixes,52.3629489603025
San Sebastián Ixcapa ,51.432664756447
San Juan Mixtepec,59.6375617792422
San Miguel Amatlán ,52.2704339051463
Santa María Ecatepec ,49.2685781158572
Zapotitlán Lagunas ,51.5966883500887
Santa María Pápalo ,50.0485908649174
San Andrés Dinicuiti ,51.3431542461005
Santa María Atzompa,52.4152572696262
Santo Domingo Ingenio,50.9829449290457
Santiago Camotlán ,51.255230125523
Santo Tomás Mazaltepec ,51.646248085758
Teotitlán de Flores Magón,52.6091692246757
Asunción Cuyotepeji ,52.7551942186088
Asunción Ocotlán ,54.446764091858
Trinidad Zaachila ,52.9979526177245
San Francisco Cahuacuá ,50.8115942028985
Cosolapa,52.7471010491441
San Pedro Yólox ,51.7383618149676
Santa Cruz Zenzontepec ,51.5540646784423
Santiago Cacaloxtepec ,51.8896220755849
San Pedro Ocotepec ,50.2495840266223
Natividad ,55.421686746988
San Pedro Quiatoni ,51.5423302598491
San Miguel Aloápam ,54.4500228206299
Teotongo,54.5273631840796
San Miguel Tlacotepec ,53.8064516129032
San Francisco Cajonos ,52.9933481152993
Santa María Jaltianguis ,53.0405405405405
Santiago Amoltepec ,51.0285095633345
Valerio Trujano ,53.4883720930233
Santiago Tilantongo ,53.9073806078148
Magdalena Yodocono de Porfirio Díaz ,51.6646848989298
Santa María Huazolotitlán  ,50.8962067528137
San Pedro Coxcaltepec Cántaros ,53.3519553072626
San Antonio de la Cal,52.8498592192375
San Antonio Nanahuatípam ,50.8928571428571
San Francisco Telixtlahuaca,51.8331408775981
San Ildefonso Amatlán ,53.6711034778875
San José Ayuquila ,53.0386740331492
San Jacinto Amilpas,52.5227313246568
