Municipio,Población total
San Andrés Zabache ,748.0
Santo Domingo Tehuantepec,67739.0
Santa Ana del Valle,2179.0
San Sebastián Tutla,16878.0
San Juan Bautista Atatlahuca,1424.0
Santiago Tenango ,1966.0
San José Estancia Grande ,938.0
San Dionisio del Mar,5180.0
San Martín Peras ,12436.0
Santa María Zacatepec,17100.0
Santiago Tamazola ,4458.0
San Agustín Chayuco ,4163.0
San Baltazar Yatzachi el Bajo ,674.0
Eloxochitlán de Flores Magón ,4215.0
San Pedro Huamelula,9735.0
San José Tenango ,18102.0
San Pedro Mártir Yucuxaco ,1257.0
Santa María Zaniza ,2469.0
San Jorge Nuchita ,2881.0
San Agustín Atenango ,1871.0
Tamazulápam del Espíritu Santo,7185.0
San Bartolomé Loxicha ,2213.0
San Juan Juquila Mixes,3703.0
San Sebastián Ixcapa ,4188.0
San Juan Mixtepec,607.0
San Miguel Amatlán ,991.0
Santa María Ecatepec ,3418.0
Zapotitlán Lagunas ,3382.0
Santa María Pápalo ,2058.0
San Andrés Dinicuiti ,2308.0
Santa María Atzompa,41921.0
Santo Domingo Ingenio,7681.0
Santiago Camotlán ,3346.0
Santo Tomás Mazaltepec ,2612.0
Teotitlán de Flores Magón,10099.0
Asunción Cuyotepeji ,1107.0
Asunción Ocotlán ,2395.0
Trinidad Zaachila ,3419.0
San Francisco Cahuacuá ,3450.0
Cosolapa,14488.0
San Pedro Yólox ,1697.0
Santa Cruz Zenzontepec ,19079.0
Santiago Cacaloxtepec ,1667.0
San Pedro Ocotepec ,2404.0
Natividad ,498.0
San Pedro Quiatoni ,11930.0
San Miguel Aloápam ,2191.0
Teotongo,1005.0
San Miguel Tlacotepec ,3100.0
San Francisco Cajonos ,451.0
Santa María Jaltianguis ,592.0
Santiago Amoltepec ,13855.0
Valerio Trujano ,1376.0
Santiago Tilantongo ,2764.0
Magdalena Yodocono de Porfirio Díaz ,1682.0
Santa María Huazolotitlán  ,11995.0
San Pedro Coxcaltepec Cántaros ,716.0
San Antonio de la Cal,26282.0
San Antonio Nanahuatípam ,1232.0
San Francisco Telixtlahuaca,13856.0
San Ildefonso Amatlán ,2329.0
San José Ayuquila ,1629.0
San Jacinto Amilpas,16827.0
San José del Progreso,8059.0
San Esteban Atatlahuca ,3934.0
San Pedro Sochiápam ,5052.0
San Vicente Nuñú ,449.0
San Pablo Macuiltianguis ,955.0
San Pedro Huilotepec ,3307.0
San Cristóbal Amatlán ,5396.0
Santiago Choápam ,5242.0
San Juan Atepec ,1457.0
San Juan Bautista Suchitepec,453.0
Santo Domingo Albarradas ,798.0
San Miguel Tlacamama ,3668.0
San Andrés Lagunas ,518.0
Ayotzintepec,6857.0
San Lorenzo Victoria ,932.0
Magdalena Tequisistlán,5996.0
San Miguel Ejutla ,1149.0
Concepción Buenavista ,752.0
San Pedro Yaneri ,867.0
San Bartolo Coyotepec,10391.0
Santa Lucía Miahuatlán ,3375.0
San José del Peñasco ,2149.0
