Municipio,Población total
Total estatal,1.235456e6
San Blas,41518.0
Compostela,77436.0
Del Nayar ,47550.0
San Pedro Lagunillas,7683.0
La Yesca,13719.0
Acaponeta,37232.0
Jala,19321.0
Tepic,425924.0
Tecuala,37135.0
Xalisco,65229.0
Ixtlán del Río,29299.0
Ahuacatlán,15393.0
Amatlán de Cañas,11536.0
Rosamorada,33567.0
Huajicori,12230.0
Ruíz,24096.0
Santiago Ixcuintla,93981.0
Santa María del Oro,24911.0
Tuxpan,30064.0
Bahía de Banderas,187632.0
