Municipio,Edad mediana
Total estatal,29.0
San Blas,31.0
Compostela,30.0
Del Nayar ,17.0
San Pedro Lagunillas,35.0
La Yesca,24.0
Acaponeta,30.0
Jala,26.0
Tepic,30.0
Tecuala,34.0
Xalisco,28.0
Ixtlán del Río,29.0
Ahuacatlán,32.0
Amatlán de Cañas,33.0
Rosamorada,31.0
Huajicori,21.0
Ruíz,27.0
Santiago Ixcuintla,32.0
Santa María del Oro,29.0
Tuxpan,33.0
Bahía de Banderas,27.0
