Municipio,Defunciones Generales
Total estatal,6956.0
San Blas,255.0
Compostela,532.0
Del Nayar ,252.0
San Pedro Lagunillas,56.0
La Yesca,48.0
Acaponeta,285.0
Jala,136.0
Tepic,2190.0
Tecuala,323.0
Xalisco,287.0
Ixtlán del Río,174.0
Ahuacatlán,121.0
Amatlán de Cañas,91.0
Rosamorada,262.0
Huajicori,52.0
Ruíz,152.0
Santiago Ixcuintla,691.0
Santa María del Oro,161.0
Tuxpan,229.0
Bahía de Banderas,650.0
