Municipio,Densidad de población
Total estatal,52.7660387326154
Escuinapa,38.5866850075977
Ahome,114.960879447686
Choix,9.12509187457285
Concordia,11.4885986566757
Mocorito,14.4106745203071
Mazatlán,198.090447893884
Navolato,63.9819189810319
Culiacán,159.164142817208
San Ignacio,3.84703967862779
Badiraguato,5.48805161772216
Sinaloa,12.4364507887738
Angostura,23.1827172282531
Elota,33.6744551010376
El Fuerte,23.1647653010209
Rosario,19.8676596652369
Salvador Alvarado,102.762389443198
Guasave,98.4866497518004
Cosalá,7.83224833569215
