Municipio,Total
Total estatal,63334.0
Tlalpan,3853.0
Milpa Alta,789.0
Iztacalco,3201.0
Iztapalapa,11733.0
Tláhuac,2084.0
Xochimilco,2455.0
Álvaro Obregón,5061.0
Cuajimalpa de Morelos,1044.0
Benito Juárez,3242.0
Miguel Hidalgo,2784.0
Venustiano Carranza,3735.0
Azcapotzalco,3450.0
Coyoacán,4663.0
La Magdalena Contreras,1559.0
Cuauhtémoc,4224.0
Gustavo A. Madero,9417.0
