Municipio,Nacimientos
Total estatal,37780.0
Landa de Matamoros,344.0
Pedro Escobedo,1403.0
Peñamiller,331.0
Huimilpan,838.0
Amealco de Bonfil,1532.0
El Marqués,3740.0
Jalpan de Serra,549.0
Arroyo Seco,215.0
San Joaquín,154.0
Tolimán,598.0
Pinal de Amoles,628.0
Ezequiel Montes,856.0
Tequisquiapan,1225.0
Cadereyta de Montes,1245.0
Corregidora,2748.0
Colón,1356.0
Querétaro,15392.0
San Juan del Río,4620.0
