Municipio,Defunciones Generales
Total estatal,10816.0
Landa de Matamoros,130.0
Pedro Escobedo,334.0
Peñamiller,118.0
Huimilpan,199.0
Amealco de Bonfil,419.0
El Marqués,755.0
Jalpan de Serra,171.0
Arroyo Seco,91.0
San Joaquín,49.0
Tolimán,176.0
Pinal de Amoles,203.0
Ezequiel Montes,231.0
Tequisquiapan,388.0
Cadereyta de Montes,346.0
Corregidora,829.0
Colón,311.0
Querétaro,4700.0
San Juan del Río,1365.0
