Municipio,Edad mediana
Total estatal,29.0
Landa de Matamoros,28.0
Pedro Escobedo,27.0
Peñamiller,26.0
Huimilpan,26.0
Amealco de Bonfil,24.0
El Marqués,28.0
Jalpan de Serra,26.0
Arroyo Seco,29.0
San Joaquín,25.0
Tolimán,25.0
Pinal de Amoles,24.0
Ezequiel Montes,26.0
Tequisquiapan,29.0
Cadereyta de Montes,26.0
Corregidora,32.0
Colón,25.0
Querétaro,30.0
San Juan del Río,29.0
